1,2,3,4
8/13/2019 19:04:02,https://twitter.com/camphor_t/status/1115771645249986561,366,126
9/1/2019 7:41:14,https://twitter.com/chachaya1129/status/1167814087339724800,901,411
9/1/2019 7:41:48,https://twitter.com/po3515/status/1167811409624760321,259,388
9/1/2019 7:42:42,https://twitter.com/coleosannkaku/status/1167798362118078464,406,124
9/1/2019 7:43:19,https://twitter.com/po3515/status/1167654849543995392,202,282
9/1/2019 7:44:03,https://twitter.com/ichiki4423/status/1167425023071543296,398,149
9/1/2019 7:44:34,https://twitter.com/HukuHuku22/status/1166693360041508866,357,142
9/1/2019 7:45:11,https://twitter.com/ume_tiyoko/status/1164563619238965248,667,310
9/1/2019 7:45:39,https://twitter.com/ume_tiyoko/status/1164562294325444608,563,279
9/1/2019 7:48:34,https://twitter.com/yuikcake831/status/1160965536139735040,413,650
9/1/2019 8:30:49,https://twitter.com/usa_twik/status/1160596987428794369,533,316
9/1/2019 8:32:09,https://twitter.com/uno_niki_51/status/1160103630751424512,177,215
9/1/2019 8:32:45,https://twitter.com/neri_kesi/status/1156969437590769664,946,458
9/1/2019 8:33:36,https://twitter.com/kkkc02/status/1155511949209161728,261,258
9/1/2019 8:34:34,https://twitter.com/itk_02/status/1161628047843315712,932,509
9/1/2019 8:35:07,https://twitter.com/10karandebu/status/1156925891580030978,248,386
9/1/2019 8:36:44,https://twitter.com/hotori0107/status/1131624025828995072,436,354
9/1/2019 8:38:09,https://twitter.com/meril_xxx/status/1112367205608382464,407,256
9/1/2019 8:40:37,https://twitter.com/onitodeko/status/1112346249934462976,634,338
9/1/2019 8:41:44,https://twitter.com/sainome_kikaku/status/1110605633361895424,691,554
9/1/2019 8:42:59,https://twitter.com/sainome_kikaku/status/1062414121285480449,332,178
9/1/2019 8:43:44,https://twitter.com/sainome_kikaku/status/1114842240055009281,738,346
9/1/2019 8:46:14,https://twitter.com/gerusemihunosu/status/1090881607068598272,330,297
9/1/2019 8:50:54,https://twitter.com/ume_tiyoko/status/1071557379043483648,968,662
9/1/2019 8:51:44,https://twitter.com/meril_xxx/status/1068774874414338048,898,321
9/1/2019 8:53:06,https://twitter.com/ume_tiyoko/status/1067751149615214593,488,371
9/1/2019 8:54:57,https://twitter.com/kiho_178921641/status/1067107071038959616,444,260
9/1/2019 8:55:53,https://twitter.com/kiho_178921641/status/1064933442989637632,745,671
9/1/2019 8:56:59,https://twitter.com/hotori0107/status/1063103026771058688,152,92
