1,2,3,4
11/3/2019 21:52:58,https://twitter.com/__Vollmond/status/1082659402069483520,1070,688
11/3/2019 21:45:21,https://twitter.com/__Vollmond/status/1085117617298239488,460,160
11/3/2019 21:03:14,https://twitter.com/__Vollmond/status/1095357720700436480,28,21
11/3/2019 18:24:13,https://twitter.com/__Vollmond/status/1111069590950285312,185,476
11/3/2019 22:28:54,https://twitter.com/_rubeg/status/1078310953794469888,941,546
10/18/2019 22:24:38,https://twitter.com/_shiho1612/status/1149689743203942400,572,130
11/3/2019 21:37:19,https://twitter.com/_you_gai_/status/1091401949910466560,451,356
11/3/2019 21:46:30,https://twitter.com/10Gatto/status/1084729737845469184,744,336
11/3/2019 22:35:00,https://twitter.com/10ymdzn/status/1075760078421028871,48,131
6/27/2019 21:24:28,https://twitter.com/13gooo/status/1086632104266326024,993,266
11/3/2019 17:12:44,https://twitter.com/13gooo/status/1187031854529925120,1159,298
11/3/2019 17:36:53,https://twitter.com/1mmmt_/status/1138480236666982401,356,416
11/3/2019 21:38:00,https://twitter.com/5Hattttt/status/1090648383000215552,108,465
11/3/2019 17:18:16,https://twitter.com/62111_tk/status/1145705638976036864,368,391
11/3/2019 21:02:31,https://twitter.com/6ak8sss/status/1095709003139534849,41,209
11/3/2019 22:24:44,https://twitter.com/6maDuck/status/1080158320890044416,1178,179
6/29/2019 10:10:43,https://twitter.com/753ko_susk/status/1057283366838358016,971,522
11/3/2019 23:39:02,https://twitter.com/774noutugi/status/1058342808468127744,681,443
11/3/2019 23:12:04,https://twitter.com/774noutugi/status/1065553585050546176,124,177
11/3/2019 23:36:32,https://twitter.com/a7yu4mu/status/1059496312796672001,854,554
11/3/2019 23:39:46,https://twitter.com/afnzz63/status/1058023233755111424,564,443
11/3/2019 17:47:11,https://twitter.com/almasgrimore/status/1131951164864385026,352,364
11/3/2019 17:45:17,https://twitter.com/almasgrimore/status/1133720328331358209,907,271
11/3/2019 18:22:53,https://twitter.com/amanatsu0311/status/1111186455366238208,454,236
11/3/2019 18:15:51,https://twitter.com/amanatsu0311/status/1112717823887859712,421,270
